Setup,Speed,Cornering,Power_Unit,Reliability,Avg_PitStop_time,Team_Score
1,171,198,174,197,3.1400000000000006,897.0
2,181,198,182,169,3.24,892.0
3,181,190,180,189,3.0,890.0
4,145,193,184,211,3.1400000000000006,890.0
5,183,171,168,206,3.2,888.0
6,191,190,188,161,3.1000000000000005,885.0
7,155,193,192,183,3.24,885.0
8,193,171,176,178,3.3000000000000007,883.0
9,155,185,190,203,3.0,883.0
10,169,171,189,193,3.2200000000000006,883.0
11,180,178,172,191,3.2199999999999998,882.0
12,193,163,174,198,3.0600000000000005,881.0
13,157,166,178,220,3.2,881.0
14,165,185,198,175,3.1000000000000005,878.0
15,179,171,197,165,3.3200000000000003,878.0
16,190,178,180,163,3.3200000000000003,877.0
17,203,163,182,170,3.16,876.0
18,167,166,186,192,3.3000000000000007,876.0
19,171,203,176,172,3.08,876.0
20,179,163,195,185,3.08,876.0
21,143,166,199,207,3.2200000000000006,876.0
22,190,170,178,183,3.08,875.0
23,144,192,167,211,3.22,875.0
24,154,173,182,205,3.2199999999999998,875.0
25,167,158,184,212,3.0600000000000005,874.0
26,192,151,166,200,3.2800000000000002,873.0
27,172,199,152,194,3.12,873.0
28,189,163,203,157,3.1800000000000006,871.0
29,153,166,207,179,3.3200000000000003,871.0
30,173,171,169,199,3.1800000000000006,871.0
31,174,179,176,179,3.26,871.0
32,200,170,186,155,3.1800000000000006,870.0
33,154,192,175,183,3.32,870.0
34,164,173,190,177,3.3200000000000003,870.0
